State,Election_Year,State_Electoral_Votes,Republican,Democrat,Other_1,Other_2,Other_3
Alabama,2000,9,9,,,,
Alabama,2004,9,9,,,,
Alabama,2008,9,9,,,,
Alabama,2012,9,9,,,,
Alabama,2016,9,9,,,,
Alaska,2000,3,3,,,,
Alaska,2004,3,3,,,,
Alaska,2008,3,3,,,,
Alaska,2012,3,3,,,,
Alaska,2016,3,3,,,,
Arizona,2000,8,8,,,,
Arizona,2004,10,10,,,,
Arizona,2008,10,10,,,,
Arizona,2012,11,11,,,,
Arizona,2016,11,11,,,,
Arkansas,2000,6,6,,,,
Arkansas,2004,6,6,,,,
Arkansas,2008,6,6,,,,
Arkansas,2012,6,6,,,,
Arkansas,2016,6,6,,,,
California,2000,54,,54,,,
California,2004,55,,55,,,
California,2008,55,,55,,,
California,2012,55,,55,,,
California,2016,55,,55,,,
Colorado,2000,8,8,,,,
Colorado,2004,9,9,,,,
Colorado,2008,9,,9,,,
Colorado,2012,9,,9,,,
Colorado,2016,9,,9,,,
Connecticut,2000,8,,8,,,
Connecticut,2004,7,,7,,,
Connecticut,2008,7,,7,,,
Connecticut,2012,7,,7,,,
Connecticut,2016,7,,7,,,
Delaware,2000,3,,3,,,
Delaware,2004,3,,3,,,
Delaware,2008,3,,3,,,
Delaware,2012,3,,3,,,
Delaware,2016,3,,3,,,
District of Columbia,2000,3,,2,,,
District of Columbia,2004,3,,3,,,
District of Columbia,2008,3,,3,,,
District of Columbia,2012,3,,3,,,
District of Columbia,2016,3,,3,,,
Florida,2000,25,25,,,,
Florida,2004,27,27,,,,
Florida,2008,27,,27,,,
Florida,2012,29,,29,,,
Florida,2016,29,29,,,,
Georgia,2000,13,13,,,,
Georgia,2004,15,15,,,,
Georgia,2008,15,15,,,,
Georgia,2012,16,16,,,,
Georgia,2016,16,16,,,,
Hawaii,2000,4,,4,,,
Hawaii,2004,4,,4,,,
Hawaii,2008,4,,4,,,
Hawaii,2012,4,,4,,,
Hawaii,2016,4,,3,,1,
Idaho,2000,4,4,,,,
Idaho,2004,4,4,,,,
Idaho,2008,4,4,,,,
Idaho,2012,4,4,,,,
Idaho,2016,4,4,,,,
Illinois,2000,22,,22,,,
Illinois,2004,21,,21,,,
Illinois,2008,21,,21,,,
Illinois,2012,20,,20,,,
Illinois,2016,20,,20,,,
Indiana,2000,12,12,,,,
Indiana,2004,11,11,,,,
Indiana,2008,11,,11,,,
Indiana,2012,11,11,,,,
Indiana,2016,11,11,,,,
Iowa,2000,7,,7,,,
Iowa,2004,7,7,,,,
Iowa,2008,7,,7,,,
Iowa,2012,6,,6,,,
Iowa,2016,6,6,,,,
Kansas,2000,6,6,,,,
Kansas,2004,6,6,,,,
Kansas,2008,6,6,,,,
Kansas,2012,6,6,,,,
Kansas,2016,6,6,,,,
Kentucky,2000,8,8,,,,
Kentucky,2004,8,8,,,,
Kentucky,2008,8,8,,,,
Kentucky,2012,8,8,,,,
Kentucky,2016,8,8,,,,
Louisiana,2000,9,9,,,,
Louisiana,2004,9,9,,,,
Louisiana,2008,9,9,,,,
Louisiana,2012,8,8,,,,
Louisiana,2016,8,8,,,,
Maine,2000,4,,4,,,
Maine,2004,4,,4,,,
Maine,2008,4,,4,,,
Maine,2012,4,,4,,,
Maine,2016,4,1,3,,,
Maryland,2000,10,,10,,,
Maryland,2004,10,,10,,,
Maryland,2008,10,,10,,,
Maryland,2012,10,,10,,,
Maryland,2016,10,,10,,,
Massachusetts,2000,12,,12,,,
Massachusetts,2004,12,,12,,,
Massachusetts,2008,12,,12,,,
Massachusetts,2012,11,,11,,,
Massachusetts,2016,11,,11,,,
Michigan,2000,18,,18,,,
Michigan,2004,17,,17,,,
Michigan,2008,17,,17,,,
Michigan,2012,16,,16,,,
Michigan,2016,16,16,,,,
Minnesota,2000,10,,10,,,
Minnesota,2004,10,,9,1,,
Minnesota,2008,10,,10,,,
Minnesota,2012,10,,10,,,
Minnesota,2016,10,,10,,,
Mississippi,2000,7,7,,,,
Mississippi,2004,6,6,,,,
Mississippi,2008,6,6,,,,
Mississippi,2012,6,6,,,,
Mississippi,2016,6,6,,,,
Missouri,2000,11,11,,,,
Missouri,2004,11,11,,,,
Missouri,2008,11,11,,,,
Missouri,2012,10,10,,,,
Missouri,2016,10,10,,,,
Montana,2000,3,3,,,,
Montana,2004,3,3,,,,
Montana,2008,3,3,,,,
Montana,2012,3,3,,,,
Montana,2016,3,3,,,,
Nebraska,2000,5,5,,,,
Nebraska,2004,5,5,,,,
Nebraska,2012,5,5,,,,
Nebraska,2016,5,5,,,,
Nebraska,2008,5,4,1,,,
Nevada,2000,4,4,,,,
Nevada,2004,5,5,,,,
Nevada,2008,5,,5,,,
Nevada,2012,6,,6,,,
Nevada,2016,6,,6,,,
New Hampshire,2000,4,4,,,,
New Hampshire,2004,4,,4,,,
New Hampshire,2008,4,,4,,,
New Hampshire,2012,4,,4,,,
New Hampshire,2016,4,,4,,,
New Jersey,2000,15,,15,,,
New Jersey,2004,15,,15,,,
New Jersey,2008,15,,15,,,
New Jersey,2012,14,,14,,,
New Jersey,2016,14,,14,,,
New Mexico,2000,5,,5,,,
New Mexico,2004,5,5,,,,
New Mexico,2008,5,,5,,,
New Mexico,2012,5,,5,,,
New Mexico,2016,5,,5,,,
New York,2000,33,,33,,,
New York,2004,31,,31,,,
New York,2008,31,,31,,,
New York,2012,29,,29,,,
New York,2016,29,,29,,,
North Carolina,2000,14,14,,,,
North Carolina,2004,15,15,,,,
North Carolina,2008,15,,15,,,
North Carolina,2012,15,15,,,,
North Carolina,2016,15,15,,,,
North Dakota,2000,3,3,,,,
North Dakota,2004,3,3,,,,
North Dakota,2008,3,3,,,,
North Dakota,2012,3,3,,,,
North Dakota,2016,3,3,,,,
Ohio,2000,21,21,,,,
Ohio,2004,20,20,,,,
Ohio,2008,20,,20,,,
Ohio,2012,18,,18,,,
Ohio,2016,18,18,,,,
Oklahoma,2000,8,8,,,,
Oklahoma,2004,7,7,,,,
Oklahoma,2008,7,7,,,,
Oklahoma,2012,7,7,,,,
Oklahoma,2016,7,7,,,,
Oregon,2000,7,,7,,,
Oregon,2004,7,,7,,,
Oregon,2008,7,,7,,,
Oregon,2012,7,,7,,,
Oregon,2016,7,,7,,,
Pennsylvania,2000,23,,23,,,
Pennsylvania,2004,21,,21,,,
Pennsylvania,2008,21,,21,,,
Pennsylvania,2012,20,,20,,,
Pennsylvania,2016,20,20,,,,
Rhode Island,2000,4,,4,,,
Rhode Island,2004,4,,4,,,
Rhode Island,2008,4,,4,,,
Rhode Island,2012,4,,4,,,
Rhode Island,2016,4,,4,,,
South Carolina,2000,8,8,,,,
South Carolina,2004,8,8,,,,
South Carolina,2008,8,8,,,,
South Carolina,2012,9,9,,,,
South Carolina,2016,9,9,,,,
South Dakota,2000,3,3,,,,
South Dakota,2004,3,3,,,,
South Dakota,2008,3,3,,,,
South Dakota,2012,3,3,,,,
South Dakota,2016,3,3,,,,
Tennessee,2000,11,11,,,,
Tennessee,2004,11,11,,,,
Tennessee,2008,11,11,,,,
Tennessee,2012,11,11,,,,
Tennessee,2016,11,11,,,,
Texas,2000,32,32,,,,
Texas,2004,34,34,,,,
Texas,2008,34,34,,,,
Texas,2012,38,38,,,,
Texas,2016,38,36,,,,2
Utah,2000,5,5,,,,
Utah,2004,5,5,,,,
Utah,2008,5,5,,,,
Utah,2012,6,6,,,,
Utah,2016,6,6,,,,
Vermont,2000,3,,3,,,
Vermont,2004,3,,3,,,
Vermont,2008,3,,3,,,
Vermont,2012,3,,3,,,
Vermont,2016,3,,3,,,
Virginia,2000,13,13,,,,
Virginia,2004,13,13,,,,
Virginia,2008,13,,13,,,
Virginia,2012,13,,13,,,
Virginia,2016,13,,13,,,
Washington,2000,11,,11,,,
Washington,2004,11,,11,,,
Washington,2008,11,,11,,,
Washington,2012,12,,12,,,
Washington,2016,12,,8,,4,
West Virginia,2000,5,5,,,,
West Virginia,2004,5,5,,,,
West Virginia,2008,5,5,,,,
West Virginia,2012,5,5,,,,
West Virginia,2016,5,5,,,,
Wisconsin,2000,11,,11,,,
Wisconsin,2004,10,,10,,,
Wisconsin,2008,10,,10,,,
Wisconsin,2012,10,,10,,,
Wisconsin,2016,10,10,,,,
Wyoming,2000,3,3,,,,
Wyoming,2004,3,3,,,,
Wyoming,2008,3,3,,,,
Wyoming,2012,3,3,,,,
Wyoming,2016,3,3,,,,
